region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Черкаська область,Кукурудза,2022,6.63,362100.0,141.0,19.4,23.7,0.707815520574427,0.0035901684617508974,18.12191103789127,1.812191103789127,8.95,406100.0,103.4,19.6,18.0,0.7402117704998769,0.002462447672986949,14.908350305498981,1.490835030549898,3.71,444700.0,116.3,20.5,18.2,0.7726557229592984,0.00224870699347875,22.255192878338278,2.2255192878338277,7.7299999999999995,412900.0,98.0,21.0,20.1,0.7810607895374183,0.0033906514894647614,17.37403822288409,1.737403822288409,7.023999999999999,104.9,21.52,19.6,0.7703453274226886,0.003079863611064591,17.80932153855391,1.7809321538553906,-0.39399999999999924
Черкаська область,Кукурудза,2023,8.52,356300.0,90.4,13.6,14.0,0.6713443727196183,0.0030872859949480774,21.8283275890366,2.1828327589036602,6.63,362100.0,141.0,19.4,23.7,0.707815520574427,0.0035901684617508974,18.12191103789127,1.812191103789127,8.95,406100.0,103.4,19.6,18.0,0.7402117704998769,0.002462447672986949,14.908350305498981,1.490835030549898,3.71,444700.0,116.3,20.5,18.2,0.7726557229592984,0.00224870699347875,22.255192878338278,2.2255192878338277,7.252,114.08000000000001,20.76,20.2,0.7525047618128035,0.003052484459378073,18.404930399337612,1.8404930399337611,1.2679999999999998
Черкаська область,Кукурудза,2024,6.57,346300.0,96.3,16.2,14.5,0.6364423909904707,0.005486572336124747,25.192844247497128,2.5192844247497126,8.52,356300.0,90.4,13.6,14.0,0.6713443727196183,0.0030872859949480774,21.8283275890366,2.1828327589036602,6.63,362100.0,141.0,19.4,23.7,0.707815520574427,0.0035901684617508974,18.12191103789127,1.812191103789127,8.95,406100.0,103.4,19.6,18.0,0.7402117704998769,0.002462447672986949,14.908350305498981,1.490835030549898,7.108,109.82000000000001,18.82,18.8,0.7346176352581277,0.002955852122525887,18.897564006729844,1.8897564006729843,-0.5379999999999994
Черкаська область,Пшениця,2010,3.5,240200.0,79.2,9.2,8.7,0.7868442964196503,0.0020815986677768525,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Черкаська область,Пшениця,2011,3.9799999999999995,241400.0,77.2,9.9,10.0,0.8169014084507042,0.002071251035625518,4.97471188127021,0.49747118812702096,3.5,240200.0,79.2,9.2,8.7,0.7868442964196503,0.0020815986677768525,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,,,,,,,,,,
Черкаська область,Пшениця,2012,4.36,213900.0,87.4,10.9,11.7,0.8176718092566619,0.002805049088359046,7.466401194624191,0.746640119462419,3.9799999999999995,241400.0,77.2,9.9,10.0,0.8169014084507042,0.002071251035625518,4.97471188127021,0.49747118812702096,3.5,240200.0,79.2,9.2,8.7,0.7868442964196503,0.0020815986677768525,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,
Черкаська область,Пшениця,2013,5.12,207800.0,87.6,13.9,12.5,0.7925890279114534,0.004331087584215592,7.4812967581047385,0.7481296758104738,4.36,213900.0,87.4,10.9,11.7,0.8176718092566619,0.002805049088359046,7.466401194624191,0.746640119462419,3.9799999999999995,241400.0,77.2,9.9,10.0,0.8169014084507042,0.002071251035625518,4.97471188127021,0.49747118812702096,3.5,240200.0,79.2,9.2,8.7,0.7868442964196503,0.0020815986677768525,4.169446297531688,0.4169446297531688,,,,,,,,,
Черкаська область,Пшениця,2014,5.04,210200.0,91.0,13.6,11.4,0.7725975261655567,0.004281636536631779,8.330556481172943,0.8330556481172943,5.12,207800.0,87.6,13.9,12.5,0.7925890279114534,0.004331087584215592,7.4812967581047385,0.7481296758104738,4.36,213900.0,87.4,10.9,11.7,0.8176718092566619,0.002805049088359046,7.466401194624191,0.746640119462419,3.9799999999999995,241400.0,77.2,9.9,10.0,0.8169014084507042,0.002071251035625518,4.97471188127021,0.49747118812702096,,,,,,,,,
Черкаська область,Пшениця,2015,5.05,254600.0,82.0,12.2,12.9,0.7741555380989787,0.0019638648860958365,9.16208562385474,0.916208562385474,5.04,210200.0,91.0,13.6,11.4,0.7725975261655567,0.004281636536631779,8.330556481172943,0.8330556481172943,5.12,207800.0,87.6,13.9,12.5,0.7925890279114534,0.004331087584215592,7.4812967581047385,0.7481296758104738,4.36,213900.0,87.4,10.9,11.7,0.8176718092566619,0.002805049088359046,7.466401194624191,0.746640119462419,4.4,84.47999999999999,11.5,10.86,0.7973208136408052,0.003114124582521757,6.484482522540754,0.6484482522540753,0.6499999999999995
Черкаська область,Пшениця,2016,5.26,233500.0,91.1,15.2,14.7,0.7897216274089935,0.0021413276231263384,8.368901163277261,0.8368901163277261,5.05,254600.0,82.0,12.2,12.9,0.7741555380989787,0.0019638648860958365,9.16208562385474,0.916208562385474,5.04,210200.0,91.0,13.6,11.4,0.7725975261655567,0.004281636536631779,8.330556481172943,0.8330556481172943,5.12,207800.0,87.6,13.9,12.5,0.7925890279114534,0.004331087584215592,7.4812967581047385,0.7481296758104738,4.71,85.04,12.1,11.7,0.794783061976671,0.0030905778261855546,7.483010387805365,0.7483010387805364,0.5499999999999998
