region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Вінницька область,Кукурудза,2020,5.0600000000000005,449500.0,142.5,27.2,24.3,0.6863181312569522,0.0017797552836484984,2.457002457002457,0.24570024570024568,8.67,412300.0,122.3,29.9,20.8,0.6786320640310454,0.00218287654620422,1.852881230313137,0.1852881230313137,9.9,378900.0,116.3,23.4,18.4,0.7432040116125627,0.0018474531538664556,1.846381093057607,0.1846381093057607,7.18,355800.0,119.3,22.6,16.1,0.7883642495784149,0.002529510961214165,2.442002442002442,0.24420024420024422,7.830000000000001,112.1,21.48,16.86,0.7421958999862469,0.001577012657937245,2.2034770582023873,0.2203477058202387,-2.7700000000000005
Вінницька область,Кукурудза,2021,9.370000000000001,456700.0,103.6,19.4,14.0,0.6825049266476899,0.0013137727173199037,0.9180488401982986,0.09180488401982986,5.0600000000000005,449500.0,142.5,27.2,24.3,0.6863181312569522,0.0017797552836484984,2.457002457002457,0.24570024570024568,8.67,412300.0,122.3,29.9,20.8,0.6786320640310454,0.00218287654620422,1.852881230313137,0.1852881230313137,9.9,378900.0,116.3,23.4,18.4,0.7432040116125627,0.0018474531538664556,1.846381093057607,0.1846381093057607,7.856,122.16,24.08,19.18,0.7337623948166901,0.001799541433145931,2.2068048267671756,0.22068048267671755,1.5140000000000011
Вінницька область,Кукурудза,2022,5.14,379300.0,178.9,35.1,31.9,0.7115739520168732,0.0021091484313208544,0.5516395954642966,0.055163959546429664,9.370000000000001,456700.0,103.6,19.4,14.0,0.6825049266476899,0.0013137727173199037,0.9180488401982986,0.09180488401982986,5.0600000000000005,449500.0,142.5,27.2,24.3,0.6863181312569522,0.0017797552836484984,2.457002457002457,0.24570024570024568,8.67,412300.0,122.3,29.9,20.8,0.6786320640310454,0.00218287654620422,1.852881230313137,0.1852881230313137,8.036,120.8,24.5,18.72,0.715804676625333,0.0019306737324506485,1.9032632125147884,0.19032632125147883,-2.896
Вінницька область,Кукурудза,2023,7.85,348500.0,137.9,23.6,17.5,0.5865136298421808,0.001721664275466284,1.346059716103769,0.1346059716103769,5.14,379300.0,178.9,35.1,31.9,0.7115739520168732,0.0021091484313208544,0.5516395954642966,0.055163959546429664,9.370000000000001,456700.0,103.6,19.4,14.0,0.6825049266476899,0.0013137727173199037,0.9180488401982986,0.09180488401982986,5.0600000000000005,449500.0,142.5,27.2,24.3,0.6863181312569522,0.0017797552836484984,2.457002457002457,0.24570024570024568,7.628,132.72,27.0,21.880000000000003,0.7004466171130247,0.0018466012264719864,1.5251906432071594,0.1525190643207159,0.22199999999999953
Вінницька область,Кукурудза,2024,6.8,307200.0,116.5,17.5,24.0,0.6243489583333334,0.0006510416666666666,1.2848751835535976,0.12848751835535976,7.85,348500.0,137.9,23.6,17.5,0.5865136298421808,0.001721664275466284,1.346059716103769,0.1346059716103769,5.14,379300.0,178.9,35.1,31.9,0.7115739520168732,0.0021091484313208544,0.5516395954642966,0.055163959546429664,9.370000000000001,456700.0,103.6,19.4,14.0,0.6825049266476899,0.0013137727173199037,0.9180488401982986,0.09180488401982986,7.218000000000001,137.04000000000002,27.04,21.7,0.6691085407589483,0.001821443450791952,1.4251263678163917,0.14251263678163917,-0.41800000000000104
Вінницька область,Пшениця,2010,3.29,382900.0,81.1,8.8,8.1,0.8025594149908593,0.00026116479498563595,0.6479201762342879,0.06479201762342879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вінницька область,Пшениця,2011,4.45,387800.0,87.8,11.6,10.6,0.8388344507478082,0.00025786487880350697,1.2536826929104243,0.12536826929104244,3.29,382900.0,81.1,8.8,8.1,0.8025594149908593,0.00026116479498563595,0.6479201762342879,0.06479201762342879,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вінницька область,Пшениця,2012,3.9,359700.0,93.4,12.6,13.0,0.841534612176814,0.0005560189046427579,1.239771881973717,0.12397718819737169,4.45,387800.0,87.8,11.6,10.6,0.8388344507478082,0.00025786487880350697,1.2536826929104243,0.12536826929104244,3.29,382900.0,81.1,8.8,8.1,0.8025594149908593,0.00026116479498563595,0.6479201762342879,0.06479201762342879,,,,,,,,,,,,,,,,,,
Вінницька область,Пшениця,2013,4.279999999999999,355300.0,86.2,11.5,11.3,0.8100197016605686,0.0005629045876723895,1.2330456226880395,0.12330456226880396,3.9,359700.0,93.4,12.6,13.0,0.841534612176814,0.0005560189046427579,1.239771881973717,0.12397718819737169,4.45,387800.0,87.8,11.6,10.6,0.8388344507478082,0.00025786487880350697,1.2536826929104243,0.12536826929104244,3.29,382900.0,81.1,8.8,8.1,0.8025594149908593,0.00026116479498563595,0.6479201762342879,0.06479201762342879,,,,,,,,,
Вінницька область,Пшениця,2014,5.13,339800.0,92.7,14.6,11.7,0.7651559741024132,0.0005885815185403178,1.8545994065281899,0.18545994065281898,4.279999999999999,355300.0,86.2,11.5,11.3,0.8100197016605686,0.0005629045876723895,1.2330456226880395,0.12330456226880396,3.9,359700.0,93.4,12.6,13.0,0.841534612176814,0.0005560189046427579,1.239771881973717,0.12397718819737169,4.45,387800.0,87.8,11.6,10.6,0.8388344507478082,0.00025786487880350697,1.2536826929104243,0.12536826929104244,,,,,,,,,
