region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Україна,Кукурудза,2020,5.62,5392100.0,122.7,26.2,23.2,0.67897479646149,0.00014836520094211903,51.585398347988274,5.158539834798828,7.19,4986900.0,103.8,22.3,19.0,0.695903266558383,0.0001604203011891155,47.96291363236359,4.796291363236358,7.840000000000001,4564200.0,104.9,23.0,19.2,0.6802944656237676,0.0001752771570045134,57.43827253980164,5.743827253980164,5.51,4480700.0,102.0,21.9,19.1,0.699667462673243,0.0001562255897516013,56.15330163106672,5.615330163106671,6.57,98.38,19.839999999999996,17.22,0.6877434203460435,0.00017049081717987377,50.46904841403757,5.046904841403757,-0.9500000000000002
Україна,Кукурудза,2021,7.68,5481800.0,123.3,24.9,22.8,0.691761830055821,0.00014593746579590647,33.956243505278,3.3956243505278003,5.62,5392100.0,122.7,26.2,23.2,0.67897479646149,0.00014836520094211903,51.585398347988274,5.158539834798828,7.19,4986900.0,103.8,22.3,19.0,0.695903266558383,0.0001604203011891155,47.96291363236359,4.796291363236358,7.840000000000001,4564200.0,104.9,23.0,19.2,0.6802944656237676,0.0001752771570045134,57.43827253980164,5.743827253980164,6.552,106.12,22.240000000000002,19.1,0.6895503791485655,0.00016098178316724455,51.589717776384795,5.15897177763848,1.1280000000000001
Україна,Кукурудза,2022,6.35,4124500.0,109.0,24.4,23.7,0.6669656928112498,0.00026669899381743243,6.1184553463848985,0.6118455346384899,7.68,5481800.0,123.3,24.9,22.8,0.691761830055821,0.00014593746579590647,33.956243505278,3.3956243505278003,5.62,5392100.0,122.7,26.2,23.2,0.67897479646149,0.00014836520094211903,51.585398347988274,5.158539834798828,7.19,4986900.0,103.8,22.3,19.0,0.695903266558383,0.0001604203011891155,47.96291363236359,4.796291363236358,6.767999999999999,111.34,23.660000000000004,20.66,0.6893203642745409,0.00015724514293665115,49.419225931299636,4.941922593129964,-0.41799999999999926
Україна,Кукурудза,2023,7.81,3975200.0,113.4,22.5,21.1,0.6130509156771986,0.00022640370295834173,8.430956103304158,0.8430956103304158,6.35,4124500.0,109.0,24.4,23.7,0.6669656928112498,0.00026669899381743243,6.1184553463848985,0.6118455346384899,7.68,5481800.0,123.3,24.9,22.8,0.691761830055821,0.00014593746579590647,33.956243505278,3.3956243505278003,5.62,5392100.0,122.7,26.2,23.2,0.67897479646149,0.00014836520094211903,51.585398347988274,5.158539834798828,6.936,112.74000000000001,24.16,21.58,0.6827800103021422,0.00017933982374981737,39.41225667436328,3.9412256674363277,0.8739999999999997
Україна,Кукурудза,2024,6.6,4070500.0,96.5,15.6,15.9,0.5848421569831715,0.00027023707161282396,10.785310459765071,1.0785310459765072,7.81,3975200.0,113.4,22.5,21.1,0.6130509156771986,0.00022640370295834173,8.430956103304158,0.8430956103304158,6.35,4124500.0,109.0,24.4,23.7,0.6669656928112498,0.00026669899381743243,6.1184553463848985,0.6118455346384899,7.68,5481800.0,123.3,24.9,22.8,0.691761830055821,0.00014593746579590647,33.956243505278,3.3956243505278003,6.93,114.44000000000001,24.06,21.96,0.6693313003128285,0.000189565132940583,29.610793387063786,2.9610793387063783,-0.33000000000000007
Україна,Пшениця,2010,2.68,6284100.0,57.6,7.9,5.5,0.6539838640378097,6.365271080982161e-05,51.09177596794242,5.109177596794241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Україна,Пшениця,2011,3.35,6657300.0,62.5,8.8,6.7,0.686749883586439,6.008441860814444e-05,59.19661733615222,5.919661733615222,2.68,6284100.0,57.6,7.9,5.5,0.6539838640378097,6.365271080982161e-05,51.09177596794242,5.109177596794241,,,,,,,,,,,,,,,,,,,,,,,,,,,
Україна,Пшениця,2012,2.8,5629700.0,67.8,11.5,8.8,0.7147627759916159,8.881467929019309e-05,63.270420330329145,6.327042033032915,3.35,6657300.0,62.5,8.8,6.7,0.686749883586439,6.008441860814444e-05,59.19661733615222,5.919661733615222,2.68,6284100.0,57.6,7.9,5.5,0.6539838640378097,6.365271080982161e-05,51.09177596794242,5.109177596794241,,,,,,,,,,,,,,,,,,
Україна,Пшениця,2013,3.3899999999999997,6566100.0,66.8,10.4,7.7,0.6827645025205221,6.091896255006777e-05,62.47948016790107,6.247948016790107,2.8,5629700.0,67.8,11.5,8.8,0.7147627759916159,8.881467929019309e-05,63.270420330329145,6.327042033032915,3.35,6657300.0,62.5,8.8,6.7,0.686749883586439,6.008441860814444e-05,59.19661733615222,5.919661733615222,2.68,6284100.0,57.6,7.9,5.5,0.6539838640378097,6.365271080982161e-05,51.09177596794242,5.109177596794241,,,,,,,,,
Україна,Пшениця,2014,4.01,6010600.0,73.0,12.6,9.4,0.6565401124679733,6.654909659601372e-05,44.71513375992599,4.471513375992599,3.3899999999999997,6566100.0,66.8,10.4,7.7,0.6827645025205221,6.091896255006777e-05,62.47948016790107,6.247948016790107,2.8,5629700.0,67.8,11.5,8.8,0.7147627759916159,8.881467929019309e-05,63.270420330329145,6.327042033032915,3.35,6657300.0,62.5,8.8,6.7,0.686749883586439,6.008441860814444e-05,59.19661733615222,5.919661733615222,,,,,,,,,
