region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Полтавська область,Пшениця,2012,3.17,205500.0,73.8,10.4,9.8,0.7440389294403893,0.006326034063260341,,,3.4,305000.0,62.2,9.6,7.2,0.72,0.0042622950819672135,,,2.6100000000000003,260500.0,61.4,8.7,5.9,0.6667946257197697,0.007677543186180422,,,,,,,,,,,,,,,,,,,,
Полтавська область,Пшениця,2013,4.5200000000000005,254600.0,66.3,10.8,9.9,0.7285938727415554,0.008248232521602514,,,3.17,205500.0,73.8,10.4,9.8,0.7440389294403893,0.006326034063260341,,,3.4,305000.0,62.2,9.6,7.2,0.72,0.0042622950819672135,,,2.6100000000000003,260500.0,61.4,8.7,5.9,0.6667946257197697,0.007677543186180422,,,,,,,,,,,
Полтавська область,Пшениця,2014,4.4,223400.0,64.6,12.7,11.7,0.7054610564010743,0.006714413607878245,,,4.5200000000000005,254600.0,66.3,10.8,9.9,0.7285938727415554,0.008248232521602514,,,3.17,205500.0,73.8,10.4,9.8,0.7440389294403893,0.006326034063260341,,,3.4,305000.0,62.2,9.6,7.2,0.72,0.0042622950819672135,,,,,,,,,,,
Полтавська область,Пшениця,2015,4.37,296100.0,66.5,11.8,11.6,0.7359000337723742,0.004052684903748734,0.5814629608093964,0.058146296080939644,4.4,223400.0,64.6,12.7,11.7,0.7054610564010743,0.006714413607878245,,,4.5200000000000005,254600.0,66.3,10.8,9.9,0.7285938727415554,0.008248232521602514,,,3.17,205500.0,73.8,10.4,9.8,0.7440389294403893,0.006326034063260341,,,3.62,65.66,10.440000000000001,8.9,0.7129776968605578,0.006645703692177747,,,0.75
Полтавська область,Пшениця,2016,4.51,253800.0,80.2,14.8,15.0,0.7549251379038613,0.003940110323089046,1.7445917655268668,0.17445917655268667,4.37,296100.0,66.5,11.8,11.6,0.7359000337723742,0.004052684903748734,0.5814629608093964,0.058146296080939644,4.4,223400.0,64.6,12.7,11.7,0.7054610564010743,0.006714413607878245,,,4.5200000000000005,254600.0,66.3,10.8,9.9,0.7285938727415554,0.008248232521602514,,,3.9720000000000004,66.68,11.059999999999999,10.040000000000001,0.7267987784710787,0.00592073203569141,,,0.5379999999999994
Полтавська область,Пшениця,2017,4.01,241300.0,88.1,19.5,12.4,0.738085370907584,0.005387484459179445,4.060324825986079,0.4060324825986079,4.51,253800.0,80.2,14.8,15.0,0.7549251379038613,0.003940110323089046,1.7445917655268668,0.17445917655268667,4.37,296100.0,66.5,11.8,11.6,0.7359000337723742,0.004052684903748734,0.5814629608093964,0.058146296080939644,4.4,223400.0,64.6,12.7,11.7,0.7054610564010743,0.006714413607878245,,,4.194,70.28,12.1,11.6,0.7337838060518509,0.005856295083915776,,,-0.18400000000000016
Полтавська область,Пшениця,2018,4.29,235600.0,86.1,21.8,16.1,0.6689303904923599,0.0050933786078098476,3.4904013961605584,0.34904013961605584,4.01,241300.0,88.1,19.5,12.4,0.738085370907584,0.005387484459179445,4.060324825986079,0.4060324825986079,4.51,253800.0,80.2,14.8,15.0,0.7549251379038613,0.003940110323089046,1.7445917655268668,0.17445917655268667,4.37,296100.0,66.5,11.8,11.6,0.7359000337723742,0.004052684903748734,0.5814629608093964,0.058146296080939644,4.362,73.14000000000001,13.919999999999998,12.120000000000001,0.7325930943452899,0.005668585163099597,,,-0.07200000000000006
Полтавська область,Пшениця,2019,4.8,229300.0,87.0,13.4,9.6,0.6938508504143044,0.0034888791975577847,4.0607959159995355,0.40607959159995355,4.29,235600.0,86.1,21.8,16.1,0.6689303904923599,0.0050933786078098476,3.4904013961605584,0.34904013961605584,4.01,241300.0,88.1,19.5,12.4,0.738085370907584,0.005387484459179445,4.060324825986079,0.4060324825986079,4.51,253800.0,80.2,14.8,15.0,0.7549251379038613,0.003940110323089046,1.7445917655268668,0.17445917655268667,4.316,77.1,16.119999999999997,13.36,0.7206603978954508,0.005037614380341063,,,0.484
Полтавська область,Пшениця,2020,4.4799999999999995,229200.0,100.6,17.0,14.5,0.6679755671902269,0.004799301919720768,4.6298975635164075,0.46298975635164075,4.8,229300.0,87.0,13.4,9.6,0.6938508504143044,0.0034888791975577847,4.0607959159995355,0.40607959159995355,4.29,235600.0,86.1,21.8,16.1,0.6689303904923599,0.0050933786078098476,3.4904013961605584,0.34904013961605584,4.01,241300.0,88.1,19.5,12.4,0.738085370907584,0.005387484459179445,4.060324825986079,0.4060324825986079,4.396,81.58,16.259999999999998,12.940000000000001,0.7183383566980968,0.004392507498276971,2.787515372896487,0.2787515372896487,0.08399999999999963
Полтавська область,Пшениця,2021,4.83,249500.0,104.9,15.4,13.7,0.7138276553106212,0.0028056112224448897,6.030670265923841,0.6030670265923841,4.4799999999999995,229200.0,100.6,17.0,14.5,0.6679755671902269,0.004799301919720768,4.6298975635164075,0.46298975635164075,4.8,229300.0,87.0,13.4,9.6,0.6938508504143044,0.0034888791975577847,4.0607959159995355,0.40607959159995355,4.29,235600.0,86.1,21.8,16.1,0.6689303904923599,0.0050933786078098476,3.4904013961605584,0.34904013961605584,4.417999999999999,88.4,17.3,13.52,0.7047534633816673,0.004541830901471379,3.5972022934378893,0.35972022934378894,0.4120000000000008
Полтавська область,Пшениця,2022,4.13,268700.0,76.8,11.1,10.1,0.692221808708597,0.0026051358392259025,3.2934650719362106,0.3293465071936211,4.83,249500.0,104.9,15.4,13.7,0.7138276553106212,0.0028056112224448897,6.030670265923841,0.6030670265923841,4.4799999999999995,229200.0,100.6,17.0,14.5,0.6679755671902269,0.004799301919720768,4.6298975635164075,0.46298975635164075,4.8,229300.0,87.0,13.4,9.6,0.6938508504143044,0.0034888791975577847,4.0607959159995355,0.40607959159995355,4.482,93.34,17.42,13.26,0.6965339668630193,0.0043149310813425466,4.454417993517284,0.4454417993517284,-0.3520000000000003
Полтавська область,Пшениця,2023,5.09,232600.0,64.1,8.1,6.8,0.5911435941530524,0.0025795356835769563,3.860336483060613,0.3860336483060613,4.13,268700.0,76.8,11.1,10.1,0.692221808708597,0.0026051358392259025,3.2934650719362106,0.3293465071936211,4.83,249500.0,104.9,15.4,13.7,0.7138276553106212,0.0028056112224448897,6.030670265923841,0.6030670265923841,4.4799999999999995,229200.0,100.6,17.0,14.5,0.6679755671902269,0.004799301919720768,4.6298975635164075,0.46298975635164075,4.505999999999999,91.08000000000001,15.74,12.8,0.6873612544232219,0.003758461357351839,4.301046042707311,0.430104604270731,0.5840000000000005
Полтавська область,Пшениця,2024,4.75,255100.0,71.3,9.3,6.4,0.6377891023128185,0.003920031360250882,7.432588153952524,0.7432588153952524,5.09,232600.0,64.1,8.1,6.8,0.5911435941530524,0.0025795356835769563,3.860336483060613,0.3860336483060613,4.13,268700.0,76.8,11.1,10.1,0.692221808708597,0.0026051358392259025,3.2934650719362106,0.3293465071936211,4.83,249500.0,104.9,15.4,13.7,0.7138276553106212,0.0028056112224448897,6.030670265923841,0.6030670265923841,4.6659999999999995,86.67999999999999,13.0,10.94,0.6718038951553603,0.00325569277250526,4.375033060087322,0.4375033060087322,0.08400000000000052
Полтавська область,Соняшник,2010,1.97,236700.0,27.8,11.3,7.9,0.6168145331643431,0.0016899028305872412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Полтавська область,Соняшник,2011,2.32,233800.0,29.6,12.6,9.8,0.6544054747647562,0.00213857998289136,,,1.97,236700.0,27.8,11.3,7.9,0.6168145331643431,0.0016899028305872412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
