year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape,order
2023,Пшениця,naive_lag1,lag_only,test,5.75,4.029999999999999,1.7200000000000006,1.7200000000000006,29.91304347826088,
2023,Пшениця,forecast_linear,trend,test,5.75,5.304615384615403,0.4453846153845973,0.4453846153845973,7.745819397992997,
2023,Пшениця,linest_lag_only,lag_only,test,5.75,0.9345806190043247,4.815419380995675,4.815419380995675,83.74642401731609,
2023,Пшениця,arima,trend,test,5.75,4.72105888626788,1.0289411137321203,1.0289411137321203,17.89462806490644,"(2, 2, 0)"
2024,Пшениця,naive_lag1,lag_only,test,5.43,5.75,0.3200000000000003,0.3200000000000003,5.893186003683247,
2024,Пшениця,forecast_linear,trend,test,5.43,5.517362637362652,0.08736263736265215,0.08736263736265215,1.6088883492201131,
2024,Пшениця,linest_lag_only,lag_only,test,5.43,0.018606163855112712,5.411393836144887,5.411393836144887,99.65734504870879,
2024,Пшениця,arima,trend,test,5.43,4.440684567025693,0.9893154329743066,0.9893154329743066,18.21943707135003,"(2, 2, 0)"
2019,Кукурудза,naive_lag1,lag_only,validation,8.67,9.9,1.2300000000000004,1.2300000000000004,14.186851211072671,
2019,Кукурудза,forecast_linear,trend,validation,8.67,8.636388888888916,0.0336111111110835,0.0336111111110835,0.38767140843233566,
2019,Кукурудза,linest_lag_only,lag_only,validation,8.67,11.753831974146387,3.0838319741463867,3.0838319741463867,35.56899624159616,
2019,Кукурудза,arima,trend,validation,8.67,7.570130115105524,1.099869884894476,1.099869884894476,12.685927161412641,"(0, 1, 1)"
2020,Кукурудза,naive_lag1,lag_only,validation,5.0600000000000005,8.67,3.6099999999999994,3.6099999999999994,71.34387351778653,
2020,Кукурудза,forecast_linear,trend,validation,5.0600000000000005,8.895999999999958,3.8359999999999577,3.8359999999999577,75.81027667984105,
2020,Кукурудза,linest_lag_only,lag_only,validation,5.0600000000000005,11.035493846184314,5.975493846184314,5.975493846184314,118.09276375858326,
2020,Кукурудза,arima,trend,validation,5.0600000000000005,9.460706543057704,4.400706543057703,4.400706543057703,86.97048504066606,"(1, 1, 0)"
2021,Кукурудза,naive_lag1,lag_only,validation,9.370000000000001,5.0600000000000005,4.3100000000000005,4.3100000000000005,45.99786552828175,
2021,Кукурудза,forecast_linear,trend,validation,9.370000000000001,7.74909090909091,1.620909090909091,1.620909090909091,17.298923061996703,
2021,Кукурудза,linest_lag_only,lag_only,validation,9.370000000000001,16.382183418241354,7.012183418241353,7.012183418241353,74.83653594707953,
2021,Кукурудза,arima,trend,validation,9.370000000000001,7.307273227234223,2.062726772765778,2.062726772765778,22.014159794725487,"(0, 1, 1)"
2022,Кукурудза,naive_lag1,lag_only,test,5.14,9.370000000000001,4.230000000000001,4.230000000000001,82.295719844358,
