year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2021,Кукурудза,elasticnet,in_season,L1,validation,1.6090909090909085,1.6090909090909085,20.95170454545454,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2022,Кукурудза,elasticnet,in_season,L1,test,0.14499999999999869,0.14499999999999869,2.2834645669291134,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2023,Кукурудза,elasticnet,in_season,L1,test,1.5938461538461537,1.5938461538461537,20.407761252831673,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2024,Кукурудза,elasticnet,in_season,L1,test,0.2699999999999996,0.2699999999999996,4.090909090909085,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2019,Кукурудза,xgboost,in_season,L1,validation,0.8699807548522953,0.8699807548522953,12.099871416582687,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2020,Кукурудза,xgboost,in_season,L1,validation,1.5542200851440429,1.5542200851440429,27.655161657367312,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2021,Кукурудза,xgboost,in_season,L1,validation,0.548730545043945,0.548730545043945,7.144928971926367,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2022,Кукурудза,xgboost,in_season,L1,test,0.5768116950988773,0.5768116950988773,9.083648741714603,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2023,Кукурудза,xgboost,in_season,L1,test,1.0735169029235836,1.0735169029235836,13.74541489018673,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2024,Кукурудза,xgboost,in_season,L1,test,0.33270683288574254,0.33270683288574254,5.041012619480948,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2019,Кукурудза,lightgbm,in_season,L1,validation,1.0335808567706666,1.0335808567706666,14.375255309745013,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Кукурудза,lightgbm,in_season,L1,validation,2.2152844129552935,2.2152844129552935,39.417872116642236,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Кукурудза,lightgbm,in_season,L1,validation,0.13272139624513368,0.13272139624513368,1.728143180275178,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Кукурудза,lightgbm,in_season,L1,test,1.1209416933746343,1.1209416933746343,17.652625092513926,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Кукурудза,lightgbm,in_season,L1,test,1.4323637514593264,1.4323637514593264,18.34012485863414,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Кукурудза,lightgbm,in_season,L1,test,0.20417693609987353,0.20417693609987353,3.093589940907175,43,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Соняшник,elasticnet,lag_only,L1,validation,0.06410098593463465,0.06410098593463465,2.503944763071666,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2020,Соняшник,elasticnet,lag_only,L1,validation,0.5622412255666638,0.5622412255666638,27.83372403795365,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2021,Соняшник,elasticnet,lag_only,L1,validation,0.22194531862625233,0.22194531862625233,9.022167423831394,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2022,Соняшник,elasticnet,lag_only,L1,test,0.4288000424027558,0.4288000424027558,19.851853814942398,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2023,Соняшник,elasticnet,lag_only,L1,test,0.8879230385541192,0.8879230385541192,36.24175667567833,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2024,Соняшник,elasticnet,lag_only,L1,test,0.05573953578774171,0.05573953578774171,2.5568594398046653,17,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
2019,Соняшник,xgboost,lag_only,L1,validation,0.45405775070190435,0.45405775070190435,17.73663088679314,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2020,Соняшник,xgboost,lag_only,L1,validation,0.39351103782653807,0.39351103782653807,19.48074444685832,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2021,Соняшник,xgboost,lag_only,L1,validation,0.14862271308898922,0.14862271308898922,6.04157370280444,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
